"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"1","1_113_9",0,0.113421695334312,0.106707957553373,0.0420630816020276,0.0576235483751571,0.106707957553373,0.652682641628919,0.108947143056067,0.921679788566449,0.183210039931811,0.00516583822717726,0.275052230582219,0.904207194527381,0.191370258594233,0.0504158306370028,0.59505446228107,0.790683222840398,0.802631373449395,0.82651840239893,0.206103942218499,0.915545972430595,0.14023294735157,0.287039638748574,0.214181487427793,1,23,FALSE
"2","1_115_9",0,0.113281523129908,0.106714546172104,0.0422785781048653,0.0576153897866562,0.106714546172104,0.540459222087517,0.108947143056067,0.921679788566449,0.183210039931811,0.00516583822717726,0.275052230582219,0.895993910560025,0.0238664157350683,0.0504158306370028,0.59505446228107,0.790683222840398,0.802631373449395,0.691456759525771,0.316172018362652,0.915545972430595,0.14023294735157,0.287039638748574,0.214181487427793,1,23,FALSE
"3","1_117_9",0,0.115936437667282,0.106659194846732,0.0423604909740556,0.0575858675201041,0.106659194846732,0.540459222087517,0.108947143056067,0.6209429456431,0.186777323995253,0.00516583822717726,0.275052230582219,0.895993910560025,0.0238664157350683,0.0504158306370028,0.776697219862031,0.790683222840398,0.802631373449395,0.691456759525771,0.316172018362652,0.915545972430595,0.131454856486784,0.287039638748574,0.214181487427793,1,23,FALSE
"4","1_120_4",0,0.11677838735039,0.10568646077582,0.0432343001391881,0.0577026997519224,0.10568646077582,0.448444951319655,0.764354667929953,0.42601016092293,0.212301478411303,0.0190427056155631,0.317281639897552,1,0.363319351893236,0.128571207379479,0.658388464975576,0.798016867990313,0.847811582445945,0.745468764623768,0.355488878783348,0.932221461912368,0.180152651159355,0.24452197766803,0.224011721091044,1,23,FALSE
"5","1_127_9",0,0.106001370674255,0.106614484752389,0.0422681490277933,0.0575220485623268,0.106614484752389,0.525332123911125,0.212872884390156,0.958444531273635,0.186777323995253,0.00516583822717726,0.275052230582219,0.895466479152653,0.0754966634164176,0.0944596407233063,0.947242960585648,0.790683222840398,0.802631373449395,0.725948060293775,0.333143336140972,1,0.131454856486784,0.287039638748574,0.214181487427793,1,23,FALSE
"6","1_132_10",0,0.106842471422314,0.106153750859098,0.0431582255105744,0.0587528577048325,0.106153750859098,0.501124112583602,0.701212048355162,0.977544581206237,0.207117438857798,0,0.8400363378488,0.917852279472015,0.280145552281664,0.23216424992293,0.861774141653749,0.933286985539685,0.786356052285576,0.981400538070651,0.172085689302515,0.988179465679878,0.160159359058834,0.0835384215818201,0.606528609762743,1,23,FALSE
"7","2_120_3",0,0.13621757515867,0.105162106769303,0.0489536165872077,0.0599301377092431,0.105162106769303,0.362064048807969,0.925311621730155,0.919235585891904,0.145260137681522,0.45286178421588,1,0.829128907734258,0.522056648895211,0.0994747356938582,0,0.131565744702305,0,0.9583310744401,0.824872637333673,0.0303038840242532,0.906739715746722,0.787822573794213,1,4,26,FALSE
"8","4_119_1",0,0.193742327967828,0.0753955948661278,0.104058604976601,0.0567171982870257,0.0753955948661278,0.853253212518112,0.464075653677355,0.178343005303538,0.58767489946735,0.333405232250253,0.375968737786521,0.590342857897275,0.61214958690922,0.350818937394021,0.485010126751797,0.294769462555693,0.807094118702886,0.532581173038174,0.843293981320506,0,0.107322939742043,0.00475967469484217,0.279376133919161,2,30,FALSE
"9","4_120_3",0,0.228919881884982,0.0699340347295094,0.108612074160201,0.0555743192859784,0.0699340347295094,1,0.30861333681668,0.442390252728196,0.053283145493141,0.649660588002936,0.425511578021708,0.383112727504624,0.918350478450734,0.0428340301473498,0.646254689179536,0.136446460909396,1,0.547762704556714,0.680162853948268,0.0210229448712954,0.509370582141896,0.106243733603675,0.0344680513474032,2,30,FALSE
"10","4_121_10",0,0.180355636594642,0.0703505478823351,0.111132462502436,0.0559154951746115,0.0703505478823351,0.897390109971098,0.29314313476662,0.940577547418357,0.164705768145659,0.585220003494732,0.276562847017616,0.279247322184862,1,0.175239205544749,0.522940271741444,0.863609486249395,0.855788178929688,0.281359811165495,0.653664041881408,0.0325206631857248,0.675979951986557,0.00137720739327889,0.193277177534447,3,41,FALSE
