"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,23,1.53015129578653,0.192315131467532,"[0, 3.45]",0,3.45187527581136,0.902037923487828,0.053090415381687
"2","facebook_S",2,30,4.65233670228597,0.296156096030951,"[1.33, 7.97]",1.33487233417855,7.97006255595526,1.59484938576423,0.0992413029626783
"3","facebook_S",3,41,3.62607619747656,0.294186234311275,"[0, 7.42]",0,7.42438761431158,1.86059711338321,0.112581634758364
"4","facebook_S",4,26,1.17190534803884,0.111641963561403,"[0, 2.34]",0,2.34094581341785,0.558209817807013,0.0349228833235543
"5","ooh_S",1,23,1.54592890282325,0.0149486532326329,"[1.4, 1.7]",1.39847423249253,1.69583122319062,0.0701153987104768,0.00442007866786915
"6","ooh_S",2,30,1.25948659040969,0.0114327261602044,"[1.13, 1.39]",1.13115721190982,1.38730021839553,0.0615671145675387,0.00383108318808877
"7","ooh_S",3,41,1.31656653880368,0.0120956611307586,"[1.16, 1.47]",1.15986748004716,1.47293214270537,0.0764996779575298,0.00470771735932599
"8","ooh_S",4,26,1.52210638231223,0.0174764817077022,"[1.34, 1.71]",1.33794028907217,1.70500328282472,0.0873824085385108,0.00547300819019765
"9","print_S",1,23,4.24774214352562,0.0833234716561503,"[3.42, 5.08]",3.42032394664787,5.0777854183009,0.390821724619208,0.024637423443348
"10","print_S",2,30,1.9142867694076,0.0818219601735416,"[1, 2.83]",0.996556031850895,2.82972535487353,0.440624740377317,0.027418371755326
"11","print_S",3,41,2.26502716659771,0.0430292325315344,"[1.71, 2.82]",1.70696046769106,2.8206600018712,0.272140761537324,0.016747283406614
"12","print_S",4,26,4.95512430403376,0.0739433102034124,"[4.18, 5.73]",4.17929165594578,5.73234182160217,0.369716551017062,0.0231563966433385
"13","search_S",1,23,1.416290303672,0.140759541962662,"[0.03, 2.83]",0.027170352976162,2.8271439130483,0.660220773967198,0.0416203546263286
"14","search_S",2,30,1.59701341983805,0.264922197966934,"[0, 4.57]",0,4.57039328433968,1.42664969712025,0.0749867947331332
"15","search_S",3,41,1.27501386972093,0.169625713052288,"[0, 3.47]",0,3.47168808564286,1.07280720595077,0.0567404292681252
"16","search_S",4,26,0.583153401828175,0.112495579625322,"[0, 1.77]",0,1.76859627119241,0.562477898126612,0.029227798661067
"17","tv_S",1,23,1.87029601461207,0.0409938401466536,"[1.46, 2.28]",1.46244147258977,2.27788649987538,0.192278153879546,0.0121212256065122
"18","tv_S",2,30,2.31984035286789,0.0321316081848625,"[1.96, 2.68]",1.96173183303873,2.68162021384679,0.173034005593757,0.0107672362827836
"19","tv_S",3,41,2.41544199348533,0.0279796004971953,"[2.05, 2.78]",2.05391004850566,2.77808908231567,0.176958531185433,0.0108898595573826
"20","tv_S",4,26,1.86983437258671,0.0350376204900972,"[1.5, 2.24]",1.50254179038702,2.23844585198041,0.175188102450486,0.0109725279443875
