"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",144487.599950549,22684553.1922362,0.767873834427794,144487.599950549,0.752948392734146,22684553.1922362,0.767873834427794,144487.599950549,0.752948392734146,TRUE,0.54691406534,0.858362002802286,0.791045643095725,0.809548872740447,0.0803694672704004,0.100137401039417,0.12735808931645,0.100137401039417,0.659442413758101,0,9282.05140489075,0.001346880933,6415811.64462559,1e-04,"1_47_2",1,47,2,692,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,0.54691406534,0.858362002802286,0.791045643095725,0.809548872740447,0.0803694672704004,0.100137401039417,0.12735808931645,0.100137401039417,0.659442413758101,0,9282.05140489075,0.001346880933,6415811.64462559,1e-04,"1_47_2",1,47,2,692,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"3","season",0.619698258563842,21403.3344217917,0.000724504482531596,136.326970839436,0.00071042202663065,21403.3344217917,0.000724504482531596,136.326970839436,0.00071042202663065,TRUE,0.54691406534,0.858362002802286,0.791045643095725,0.809548872740447,0.0803694672704004,0.100137401039417,0.12735808931645,0.100137401039417,0.659442413758101,0,9282.05140489075,0.001346880933,6415811.64462559,1e-04,"1_47_2",1,47,2,692,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.603407603105046,105672.490456598,0.0035770217624658,4403.02043569157,0.0229448559001894,105672.490456598,0.0035770217624658,4403.02043569157,0.0229448559001894,TRUE,0.54691406534,0.858362002802286,0.791045643095725,0.809548872740447,0.0803694672704004,0.100137401039417,0.12735808931645,0.100137401039417,0.659442413758101,0,9282.05140489075,0.001346880933,6415811.64462559,1e-04,"1_47_2",1,47,2,692,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"5","ctv_S",72681.1723655715,1847722.56204556,0.0625455479177019,11768.9335162138,0.0613298274610483,1847722.56204556,0.0625455479177019,11768.9335162138,0.0613298274610483,TRUE,0.54691406534,0.858362002802286,0.791045643095725,0.809548872740447,0.0803694672704004,0.100137401039417,0.12735808931645,0.100137401039417,0.659442413758101,0,9282.05140489075,0.001346880933,6415811.64462559,1e-04,"1_47_2",1,47,2,692,4,2591412.14666667,16505.80985138,31386.0132870476,14880.2034356676,13234.4303623682,0.216399246557892,0.320335419501026,0.801804363526076,0.71301763574053,1.40248985421155,4,FALSE,0.828743244536143,0.0461306631711138,0.360773002459638,1.29577799497705,0.492918543494409
"6","ooh_S",17460.910765055,749501.917374426,0.0253706963645312,4773.89756289443,0.0248775569549846,749501.917374426,0.0253706963645312,4773.89756289443,0.0248775569549846,TRUE,0.54691406534,0.858362002802286,0.791045643095725,0.809548872740447,0.0803694672704004,0.100137401039417,0.12735808931645,0.100137401039417,0.659442413758101,0,9282.05140489075,0.001346880933,6415811.64462559,1e-04,"1_47_2",1,47,2,692,4,8239693.86666667,52482.1265392781,85923.8161999083,33441.6896606301,5721.24350242623,0.688066368334308,0.129939427082149,0.109013179908867,0.0909623499977959,10.9935594234783,4,FALSE,0.0849587244182045,0.00597599294436538,0.0242455578281784,0.145370702236015,0.66804924261964
"7","facebook_S",31053.1776502418,1075144.94757113,0.0363937374679994,6848.05699089893,0.0356863392181328,1075144.94757113,0.0363937374679994,6848.05699089893,0.0356863392181328,TRUE,0.54691406534,0.858362002802286,0.791045643095725,0.809548872740447,0.0803694672704004,0.100137401039417,0.12735808931645,0.100137401039417,0.659442413758101,0,9282.05140489075,0.001346880933,6415811.64462559,1e-04,"1_47_2",1,47,2,692,4,334078.021992166,2127.88549039596,2358.97912511253,231.09363471657,9026.10632414484,0.0278976203548508,0.186395411778338,4.24181957388376,3.21824507089647,0.310728355973661,4,FALSE,3.14568536493353,0.134902246604579,1.7780298646404,4.51231256092904,0.132780056705559
"8","search_S",51948.4752330775,2095717.55172539,0.070940197000299,13348.5194377413,0.0695613067105252,2095717.55172539,0.070940197000299,13348.5194377413,0.0695613067105252,TRUE,0.54691406534,0.858362002802286,0.791045643095725,0.809548872740447,0.0803694672704004,0.100137401039417,0.12735808931645,0.100137401039417,0.659442413758101,0,9282.05140489075,0.001346880933,6415811.64462559,1e-04,"1_47_2",1,47,2,692,4,809960,5158.98089171975,6548.38026255327,1389.39937083352,12705.272653601,0.0676367647529497,0.363329741638487,2.46274853895916,2.58743339390264,0.386483378608519,4,FALSE,2.2406374211301,0.069670326332663,1.53466780259479,2.94678933897339,0.0557475569295465
"9","newsletter",22873.3570912891,962315.74840764,0.0325744605766768,6129.39967138624,0.0319412989943427,962315.74840764,0.0325744605766768,6129.39967138624,0.0319412989943427,TRUE,0.54691406534,0.858362002802286,0.791045643095725,0.809548872740447,0.0803694672704004,0.100137401039417,0.12735808931645,0.100137401039417,0.659442413758101,0,9282.05140489075,0.001346880933,6415811.64462559,1e-04,"1_47_2",1,47,2,692,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,0.310497315288156
"10","(Intercept)",138967.886223911,21817958.1371542,0.73843771393727,138967.886223911,0.724128264108278,21817958.1371542,0.73843771393727,138967.886223911,0.724128264108278,TRUE,0.54691406534,0.858399623756512,0.791180512640737,0.808891129734973,0.0803587929566166,0.100105078990959,0.127577822042888,0.100105078990959,0.649896507551747,0,9282.05140489075,0.001346880933,6415811.64462559,1e-04,"1_49_2",1,49,2,722,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
