"","ds","dep_var","trend","season","holiday","ctv_S","ooh_S","facebook_S","search_S","newsletter","intercept","depVarHat","solID","cluster","top_sol"
"1",2020-01-04,217150.666666667,0,52158.4151857448,0,4355.3525021194,5871.07086233481,12341.7052757636,7270.89318218545,6876.44884572688,152092.825859265,240966.71171314,"1_125_1",4,FALSE
"2",2020-01-11,246413.166666667,0,37756.4154608588,0,2023.80082579946,4033.54813921456,12834.2620039652,8532.67977677749,6094.44750779209,152092.825859265,223367.979573673,"1_125_1",4,FALSE
"3",2020-01-18,201252,0,23967.4124313743,0,521.811294007428,2545.30265862216,12172.5262494185,5964.77656845305,5923.68434357661,152092.825859265,203188.339404717,"1_125_1",4,FALSE
"4",2020-01-25,173891.166666667,0,15985.5958978688,0,132.50421326666,1506.72203952811,11010.8975462384,5565.49881505443,4979.56399515411,152092.825859265,191273.608366376,"1_125_1",4,FALSE
"5",2020-02-01,177230.666666667,0,12440.7324254198,0,4924.80414676812,3139.0808687758,3222.78484425703,4826.98503090107,3565.22343689435,152092.825859265,184212.436612281,"1_125_1",4,FALSE
"6",2020-02-08,180905.833333333,0,9146.74410023793,0,1308.67835314881,1905.28293361348,10693.7337811703,4596.47248024343,3278.29331607946,152092.825859265,183022.030823758,"1_125_1",4,FALSE
"7",2020-02-15,195274,0,3482.73878561506,0,21788.8136989906,1098.60213582321,7429.72654289512,217.501288029169,4902.87040227019,152092.825859265,191013.078712888,"1_125_1",4,FALSE
"8",2020-02-22,150780.5,0,-5095.10891730799,0,7043.7338227634,613.410570390401,1946.43595394017,9.13222439774188,5454.47152204038,152092.825859265,162064.901035489,"1_125_1",4,FALSE
"9",2020-02-29,151039.166666667,0,-16066.7713855703,0,16036.4472355878,336.101876332444,8224.23824669129,2733.28847507724,1844.80046799427,152092.825859265,165200.930775378,"1_125_1",4,FALSE
"10",2020-03-07,158884,0,-26877.014145235,0,4827.5772290973,182.212211387201,2205.93318296144,4535.96321144989,2123.31568380489,152092.825859265,139090.813232731,"1_125_1",4,FALSE
"11",2020-03-14,160599,0,-31974.7642543472,0,7899.27067736726,3095.83046327696,501.198547355343,3873.06413225247,1627.68690418888,152092.825859265,137115.112329359,"1_125_1",4,FALSE
"12",2020-03-21,135601,0,-26474.0589563239,0,2167.12558026897,1875.57151684865,109.146699534726,3606.07947526928,1883.12132669,152092.825859265,135259.811501553,"1_125_1",4,FALSE
"13",2020-03-28,210393.666666667,0,-13048.1892186768,0,559.587124875842,3757.32257582546,14697.4958502449,4061.01285692161,2508.12785460058,152092.825859265,164628.182903057,"1_125_1",4,FALSE
"14",2020-04-04,112083.5,0,-3603.20727087308,-37432.6523768981,142.15083902013,2342.30081273518,4956.83930870771,2867.38243111041,2612.79747856172,152092.825859265,123978.437081629,"1_125_1",4,FALSE
"15",2020-04-11,114114,0,-10487.1488780596,-37740.8511405192,35.9588499608065,3823.45020096092,1210.85827581953,2614.18876017268,1326.12587420995,152092.825859265,112875.40780181,"1_125_1",4,FALSE
"16",2020-04-18,116688,0,-34169.9059526746,0,3041.88643662604,2390.45024027759,7991.70862801232,2427.33538576091,2644.93606180281,152092.825859265,136419.23665907,"1_125_1",4,FALSE
"17",2020-04-25,88880.6666666667,0,-60854.3540914377,23224.207504904,792.57538478014,1405.99728420465,2128.71470532695,2422.45125686587,2013.38605719899,152092.825859265,123225.803961108,"1_125_1",4,FALSE
"18",2020-05-02,89887.3333333333,0,-74393.5786807398,0,201.810817218582,794.63177658359,482.706998614997,1515.55116768,1609.17832461454,152092.825859265,82303.1262632369,"1_125_1",4,FALSE
"19",2020-05-09,88937.3333333334,0,-71053.3319149687,0,51.0812147417817,3286.59348792773,105.07244823395,1635.02942329939,791.293007554858,152092.825859265,86908.5635260541,"1_125_1",4,FALSE
"20",2020-05-16,191537.5,0,-61660.0198072011,44008.6968888511,12.9098255825708,2007.448442407,10637.1695717545,71.2489637285332,4033.45705934889,152092.825859265,151203.736803737,"1_125_1",4,FALSE
"21",2020-05-23,100684.5,0,-59213.1031623655,0,3.26146823669844,4704.19752344161,3075.77024226023,2.98031294031044,5157.81044609416,152092.825859265,105823.742689873,"1_125_1",4,FALSE
"22",2020-05-30,86919.8333333334,0,-65915.4333289253,-6196.12498655093,0.823879861017134,3059.50362016108,714.624923742207,1141.25287544439,3468.48454980738,152092.825859265,88365.9573928049,"1_125_1",4,FALSE
"23",2020-06-06,72725,0,-73341.425467472,0,0.208115295096808,1850.70075473929,156.438031277726,1228.13799640196,1889.51110172001,152092.825859265,83876.3963912271,"1_125_1",4,FALSE
"24",2020-06-13,75373,0,-73731.5212762511,0,0.0525704177479627,1064.77439669532,33.7840498335981,1737.25085797613,1932.88832703756,152092.825859265,83130.0547849743,"1_125_1",4,FALSE
"25",2020-06-20,99919.6666666667,0,-68149.5815773646,0,6196.08813058551,4646.2333554303,8357.58804953388,2003.69416653836,911.574460656542,152092.825859265,106058.422444645,"1_125_1",4,FALSE
"26",2020-06-27,84584.3333333333,0,-62659.5500258921,0,1668.89252110921,3013.81994253532,2250.70399125915,1843.01913581019,843.439614096766,152092.825859265,99053.1510381836,"1_125_1",4,FALSE
"27",2020-07-04,112601.666666667,0,-59103.4209760997,0,3436.05082227619,1819.53277770188,511.953107525679,2231.162134371,952.748369577025,152092.825859265,101940.852094617,"1_125_1",4,FALSE
