"","ds","ctv_S","ooh_S","facebook_S","search_S","newsletter","type","solID"
"1",2019-11-23,22358.3466666667,0,7607.1329148046,0,19401.6538461538,"rawMedia","1_98_11"
"2",2019-11-30,28613.4533333333,0,1141.9524503542,4133.3333333333,14791,"rawMedia","1_98_11"
"3",2019-12-07,0,132278.4,4256.3753778266,3786.6666666667,14544,"rawMedia","1_98_11"
"4",2019-12-14,83450.3066666667,0,2800.490676851,4253.3333333333,2800,"rawMedia","1_98_11"
"5",2019-12-21,0,277336,689.582605192,3613.3333333333,15478,"rawMedia","1_98_11"
"6",2019-12-28,33225.3066666667,0,5337.0051734019,3773.3333333333,13817,"rawMedia","1_98_11"
"7",2020-01-04,687.0533333333,226753.6,3623.0122328703,3706.6666666667,28817,"rawMedia","1_98_11"
"8",2020-01-11,2952.2266666667,0,4129.8161531585,4266.6666666667,19082,"rawMedia","1_98_11"
"9",2020-01-18,0,0,3623.0122328703,3053.3333333333,19679,"rawMedia","1_98_11"
"10",2020-01-25,0,0,3002.6905850797,3053.3333333333,15095,"rawMedia","1_98_11"
"11",2020-02-01,16511.8266666667,42477.3333333333,0,2746.6666666667,9795,"rawMedia","1_98_11"
"12",2020-02-08,0,0,3564.3821977866,2693.3333333333,10876,"rawMedia","1_98_11"
"13",2020-02-15,66276.44,0,1448.5977402309,0,19401.6538461538,"rawMedia","1_98_11"
"14",2020-02-22,0,0,0,0,19401.6538461538,"rawMedia","1_98_11"
"15",2020-02-29,41556.2933333333,0,2415.5964039806,2293.3333333333,583,"rawMedia","1_98_11"
"16",2020-03-07,0,0,0,2826.6666666667,8224,"rawMedia","1_98_11"
"17",2020-03-14,19772.44,43994.1333333333,0,2373.3333333333,5311,"rawMedia","1_98_11"
"18",2020-03-21,0,0,0,2293.3333333333,7428,"rawMedia","1_98_11"
"19",2020-03-28,0,66088.5333333333,6471.0484051946,2533.3333333333,10025,"rawMedia","1_98_11"
